85,12
85.5,12.1
86,12.2
86.5,12.3
87,12.4
87.5,12.5
88,12.6
88.5,12.8
89,12.9
89.5,13
90,13.1
90.5,13.2
91,13.3
91.5,13.4
92,13.6
92.5,13.7
93,13.8
93.5,13.9
94,14
94.5,14.2
95,14.3
95.5,14.4
96,14.5
96.5,14.7
97,14.8
97.5,14.9
98,15
98.5,15.2
99,15.3
99.5,15.4
100,15.6
100.5,15.7
101,15.8
101.5,16
102,16.1
102.5,16.2
103,16.4
103.5,16.5
104,16.7
104.5,16.8
105,16.9
105.5,17.1
106,17.2
106.5,17.4
107,17.5
107.5,17.7
108,17.8
108.5,18
109,18.1
109.5,18.3
110,18.4
110.5,18.6
111,18.8
111.5,18.9
112,19.1
112.5,19.3
113,19.4
113.5,19.6
114,19.8
114.5,19.9
115,20.1
115.5,20.3
116,20.5
116.5,20.7
117,20.8
117.5,21
118,21.2
118.5,21.4
119,21.6
119.5,21.8
120,22
120.5,22.2
121,22.4
121.5,22.6
122,22.8
122.5,23.1
123,23.3
123.5,23.5
124,23.7
124.5,24
125,24.2
125.5,24.4
126,24.7
126.5,24.9
127,25.2
127.5,25.4
128,25.7
128.5,26
129,26.2
129.5,26.5
130,26.8
